HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457745.15512,2016-12-22.6515425,bb,1.77,16.898,>16.898,99.990,0.280,0.134,V
2457745.15638,2016-12-22.6527996,bb,1.76,16.819,>16.819,99.990,0.172,0.144,V
2457745.15763,2016-12-22.6540530,bb,1.81,16.895,>16.895,99.990,-0.105,0.134,V
2457747.17330,2016-12-24.6695863,bb,1.79,16.225,>16.225,99.990,-0.290,0.248,V
2457747.17456,2016-12-24.6708493,bb,1.76,15.926,>15.926,99.990,0.341,0.327,V
2457747.17583,2016-12-24.6721128,bb,1.88,15.901,>15.901,99.990,0.158,0.335,V
2457748.10398,2016-12-25.6002084,bb,2.48,16.670,>16.670,99.990,0.712,0.165,V
2457748.10688,2016-12-25.6031040,bb,2.47,16.696,>16.696,99.990,0.498,0.161,V
2457757.16059,2017-01-03.6562776,bb,1.60,17.039,>17.039,99.990,0.153,0.117,V
2457757.16188,2017-01-03.6575628,bb,1.67,16.929,>16.929,99.990,0.058,0.130,V
2457757.16313,2017-01-03.6588156,bb,1.63,16.948,>16.948,99.990,0.162,0.128,V
2457759.05799,2017-01-05.5535732,bb,2.03,17.038,>17.038,99.990,0.176,0.117,V
2457759.06051,2017-01-05.5560918,bb,2.06,16.952,>16.952,99.990,0.354,0.127,V
2457761.90434,2017-01-08.3997804,bb,1.65,16.354,>16.354,99.990,-0.177,0.220,V
2457761.90559,2017-01-08.4010349,bb,1.64,16.209,>16.209,99.990,-0.119,0.252,V
2457761.90683,2017-01-08.4022773,bb,1.66,16.289,>16.289,99.990,0.481,0.234,V
2457763.12864,2017-01-09.6240278,bb,1.70,17.160,>17.160,99.990,0.203,0.105,V
2457763.12989,2017-01-09.6252770,bb,1.67,17.182,>17.182,99.990,-0.056,0.103,V
2457763.13114,2017-01-09.6265211,bb,1.64,17.186,>17.186,99.990,0.186,0.102,V
2457763.89746,2017-01-10.3928173,bb,1.73,16.162,>16.162,99.990,1.017,0.263,V
2457763.89873,2017-01-10.3940775,bb,1.85,16.105,>16.105,99.990,-0.048,0.277,V
2457763.89998,2017-01-10.3953310,bb,1.69,16.103,>16.103,99.990,-0.005,0.278,V
2457770.00659,2017-01-16.5016976,bb,2.20,16.109,>16.109,99.990,0.698,0.276,V
2457770.00786,2017-01-16.5029616,bb,2.23,16.213,>16.213,99.990,0.334,0.251,V
2457770.00912,2017-01-16.5042232,bb,2.21,16.119,>16.119,99.990,0.644,0.274,V
2457771.02198,2017-01-17.5170532,bb,2.25,16.304,>16.304,99.990,0.316,0.231,V
2457771.02324,2017-01-17.5183118,bb,2.17,16.320,>16.320,99.990,0.338,0.227,V
2457771.02454,2017-01-17.5196101,bb,2.27,16.349,>16.349,99.990,0.063,0.221,V
2457772.09627,2017-01-18.5913071,bb,2.31,16.382,>16.382,99.990,0.356,0.215,V
