HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457745.15505,2016-12-22.6515425,bb,1.77,17.735,>17.735,99.990,-0.011,0.062,V
2457747.17324,2016-12-24.6695863,bb,1.79,16.926,>16.926,99.990,-0.034,0.130,V
2457757.16055,2017-01-03.6562776,bb,1.60,17.857,>17.857,99.990,0.025,0.055,V
2457759.05796,2017-01-05.5535732,bb,2.03,17.621,>17.621,99.990,0.128,0.069,V
2457761.90431,2017-01-08.3997804,bb,1.65,17.242,>17.242,99.990,-0.099,0.097,V
2457763.12862,2017-01-09.6240278,bb,1.70,17.876,>17.876,99.990,-0.033,0.054,V
2457763.89744,2017-01-10.3928173,bb,1.73,17.196,>17.196,99.990,0.285,0.102,V
2457770.00659,2017-01-16.5016976,bb,2.20,16.981,>16.981,99.990,0.371,0.124,V
2457771.02198,2017-01-17.5170532,bb,2.25,17.460,>17.460,99.990,0.105,0.080,V
2457772.09627,2017-01-18.5913071,bb,2.31,16.644,>16.644,99.990,0.225,0.169,V
2457773.12175,2017-01-19.6167523,bb,2.27,17.875,>17.875,99.990,0.051,0.054,V
2457774.13358,2017-01-20.6285539,bb,2.13,17.927,>17.927,99.990,-0.104,0.052,V
2457775.13402,2017-01-21.6289568,bb,1.74,17.767,>17.767,99.990,0.057,0.060,V
2457779.06712,2017-01-25.5619569,bb,1.79,18.156,>18.156,99.990,0.076,0.042,V
2457783.10288,2017-01-29.5976326,bb,1.72,18.073,>18.073,99.990,0.111,0.045,V
2457784.95647,2017-01-31.4511907,bb,1.71,18.172,>18.172,99.990,-0.038,0.041,V
2457788.82494,2017-02-04.3196211,bb,1.74,17.681,>17.681,99.990,0.026,0.065,V
2457789.99991,2017-02-05.4945776,bb,1.69,17.903,>17.903,99.990,0.078,0.053,V
2457798.96126,2017-02-14.4559403,bb,2.13,17.680,>17.680,99.990,-0.019,0.065,V
2457807.01666,2017-02-22.5114615,bb,1.58,17.945,>17.945,99.990,-0.001,0.051,V
2457817.81824,2017-03-05.3133679,bb,2.26,17.752,>17.752,99.990,0.033,0.061,V
2457825.81926,2017-03-13.3147409,bb,1.91,16.715,>16.715,99.990,0.261,0.158,V
2457827.90390,2017-03-15.3994869,bb,1.70,17.273,>17.273,99.990,0.156,0.095,V
2457835.86999,2017-03-23.3660422,bb,1.70,18.084,>18.084,99.990,-0.088,0.045,V
2457843.89829,2017-03-31.3948797,bb,1.70,18.065,>18.065,99.990,0.074,0.046,V
2457847.81060,2017-04-04.3074689,bb,1.84,17.804,17.644,0.189,0.336,0.058,V
2457851.79165,2017-04-08.2888302,bb,2.13,16.792,>16.792,99.990,-0.270,0.147,V
2457855.85553,2017-04-12.3530364,bb,1.88,16.948,>16.948,99.990,-0.317,0.128,V
2457859.88944,2017-04-16.3872814,bb,1.60,17.511,>17.511,99.990,-0.057,0.076,V
2457878.76622,2017-05-05.2657421,bb,1.81,17.359,>17.359,99.990,0.244,0.087,V
2457879.76258,2017-05-06.2621947,bb,2.08,17.132,>17.132,99.990,0.034,0.108,V
2457883.82188,2017-05-10.3218724,bb,1.66,16.797,>16.797,99.990,-0.096,0.147,V
2457900.76427,2017-05-27.2658039,bb,1.75,17.854,>17.854,99.990,0.104,0.055,V
2458034.14003,2017-10-07.6431741,bb,1.68,16.685,>16.685,99.990,0.121,0.163,V
2458037.13070,2017-10-10.6336137,bb,1.68,17.079,>17.079,99.990,0.262,0.113,V
2458038.12646,2017-10-11.6292916,bb,1.66,17.494,>17.494,99.990,-0.001,0.077,V
2458054.09977,2017-10-27.6012276,bb,1.76,17.697,>17.697,99.990,0.131,0.064,V
2458055.09968,2017-10-28.6010468,bb,1.61,17.844,>17.844,99.990,0.012,0.056,V
2458055.99391,2017-10-29.4951869,br,1.75,18.722,>18.722,99.990,-0.023,0.024,g
2458056.09557,2017-10-29.5968459,bb,1.72,17.871,>17.871,99.990,0.011,0.055,V
2458056.99117,2017-10-30.4923679,br,1.49,18.711,>18.711,99.990,0.057,0.024,g
2458057.09169,2017-10-30.5928807,bb,1.68,17.537,>17.537,99.990,-0.074,0.074,V
2458060.10594,2017-11-02.6068447,bb,1.98,17.161,>17.161,99.990,0.026,0.105,V
2458060.98055,2017-11-03.4813744,br,1.46,17.750,>17.750,99.990,0.033,0.058,g
