# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-06-14 at 03:02:09
#
# Requested input R.A. = 148.78284099937 degrees
# Requested input Dec. = 35.850245954180004 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459987.4043791667 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 667 15 3 ZTF_g 448257045915 0 2.4741 96.3035 8.17353 26.3439 1.78937e-05 0.0335585 -0.0272839 2.7625e-05 403 30. 0.063498 0.057093 20.2229 26.3439 1 2458202.7570486 667120159 14.2160882799137 39.1341881801026 0.4040904472514 0.962780503802052 11.6596260688716 63.0128364409955 0.186281954348657 1.09974019842219 0.231780012444167 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 1 667 15 3 ZTF_g 451393315915 0 3.3073 76.8064 22.3257 26.1388 7.49675e-05 0.0419943 -0.0670747 0.000161018 175 30. 0.086435 0.085906 18.507 26.1388 1 2458205.8933102 667120159 43.4979685371692 133.458023061724 0.36255933250212 1.02453783643629 -157.043703711676 190.945197009097 -0.827993605328217 1.08290809402466 0.231780012444167 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 2 667 15 3 ZTF_g 451399825915 1 3.6797 46.7227 29.8635 25.5549 0.000339472 0.0441924 -0.00509463 0.000906968 59 30. 0.116274 0.084286 17.5149 25.5549 1 2458205.8998264 667120159 -146.52428050448 191.630192848067 -0.850551200573746 1.11886283296965 234.81576284577 254.152882772148 0.930138025349782 1.12280022620988 0.231780012444167 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 3 667 15 3 ZTF_g 454233255915 33554465 1.9319 22.439 35.2284 24.7142 0.000561395 0.0389154 -0.0272321 0.00175799 41 30. 0.06615 0.050693 17.0435 24.7142 1 2458208.7332523 667120159 88.3101724511476 174.091170697382 0.56427237381348 0.973332198435847 197.78819979496 313.262627617584 0.635633800988803 1.08409057903501 0.231780012444167 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 4 667 15 3 ZTF_g 454262935915 33554433 1.8371 22.3555 35.65 24.9598 0.000321975 0.0457222 -0.0304503 0.000753425 64 30. 0.061431 0.056979 17.3006 24.9598 1 2458208.7629398 667120159 -93.2639809638276 162.806124696113 -0.637232638075467 1.06735426312407 -102.043630420459 296.836228089971 -0.346086125684342 1.08098193048684 0.231780012444167 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 5 667 15 3 ZTF_r 460185355915 33554480 1.9617 7.7326 11.6058 22.9163 0.000869163 0.0879182 0.134149 0.00151412 78 30. 0.0733 0.060075 16.3877 22.9163 1 2458214.6853588 667120259 0.923628619870192 54.4401368240062 0.0188726538618564 1.05396000444094 26.6571031752273 98.6237129717155 0.27211143740373 1.08644296415522 0.153377771800887 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 6 667 15 3 ZTF_r 460202715915 33554432 2.0294 78.8776 9.44133 25.4156 2.7386e-05 0.0420125 0.117421 3.86566e-05 429 30. 0.066844 0.055662 19.1263 25.4156 1 2458214.7027199 667120259 36.2262051931062 42.0026674036547 0.959402337887772 1.02889386794965 34.6054008928588 73.8396567496076 0.471812462198043 1.05806039955933 0.153377771800887 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 7 667 15 3 ZTF_i 460361975915 32 3.1296 60.2889 11.0881 23.8898 5.51728e-05 0.0577404 0.186915 0.000184358 163 30. 0.084434 0.083608 17.0661 23.8898 2 2458214.8619792 667120359 -60.2559128685834 63.4443082800343 -1.05648127659784 1.05823853149757 -54.4385984088612 91.8875612567496 -0.596438133210756 1.1023300755914 0.148130552645357 18.976999912262 0.028999999165535 0.745999991893768 0.0329999998211861 2458173.748542 2458266.718287 0
 8 667 15 3 ZTF_r 463213795915 0 1.9967 168.699 7.72068 26.1101 9.7044e-06 0.0249605 0.104443 1.38064e-05 432 30. 0.059682 0.05132 20.2621 26.275 1 2458217.7137963 667120259 15.7855839374499 26.5185626453682 0.662163857384537 1.1514652482903 -22.733406016262 49.9464529019786 -0.458221064439981 1.03828568011845 0.153377771800887 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
