,Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),arrival time [UT],Signalness,initial RA,initial Dec,initial Error90 [arcmin],retracted,direction uncertainty missing,reason
23,IC160427A,HESE,240.57,"[0.6, -0.6]",9.34,"[0.6, -0.6]",2016-04-27 05:52:32.00,,239.6639,6.8528,534.0,False,False,
24,IC160731A,EHE,214.5,"[0.75, -0.75]",-0.33,"[0.75, -0.75]",2016-07-31 01:55:04.00,0.84879,214.544,-0.3347,20.99,False,False,
24,IC160731A,HESE,214.5,"[0.75, -0.75]",-0.33,"[0.75, -0.75]",2016-07-31 01:55:04.00,,215.109,-0.4581,73.79,False,False,
25,IC160806A,EHE,122.81,"[0.5, 0.5]",-0.81,"[0.5, -0.5] ",2016-08-06 12:21:33.00,0.28016,122.798,-0.7331,6.67,False,False,
26,IC160814A,HESE,200.3,"[2.43, -3.03]",-32.4,"[1.39, -1.21]",2016-08-14 21:45:54.00,,199.31,-32.0165,89.39,False,False,
27,IC161103A,HESE,40.83,"[1.10, -0.70]",12.56,"[1.10, -0.65]",2016-11-03 09:07:31.12,,40.8252,12.5592,66.0,False,False,
28,IC161210A,EHE,46.58,"[1.10, -1.00]",14.98,"[0.45, -0.40]",2016-12-10 20:06:40.31,0.49023,46.5799,14.98,60.0,False,False,
29,IC170312A,HESE,305.15,"[0.5, -0.5]",-26.61,"[0.5, -0.5]",2017-03-12 13:49:39.83,,304.73,-26.238,73.79,False,False,
30,IC170321A,EHE,98.3,"[1.2, -1.2]",-15.02,"[1.2, -1.2]",2017-03-21 07:32:20.69,0.28016,98.3268,-14.4861,19.48,False,False,
31,IC170506A,HESE,221.8,"[3.0, -3.0]",-26.0,"[2.0, -2.0]",2017-05-06 12:36:55.80,,221.675,-26.0359,73.79,True,False,retracted
32,IC170922A,EHE,77.43,"[0.95, -0.65]",5.72,"[0.50, -0.30]",2017-09-22 20:54:30.43,0.56507,77.2853,5.7517,14.99,False,False,
33,IC171015A,HESE,162.86,"[2.60, -1.70]",-15.44,"[1.60, -2.00]",2017-10-15 01:34:30.06,,162.579,-15.8611,73.79,False,False,
34,IC171028A,HESE,,,,,2017-10-28 08:28:14.81,,275.076,34.5011,534.0,True,False,retracted
35,IC171106A,EHE,340.0,"[0.7, -0.5]",7.4,"[0.35, -0.25]",2017-11-06 18:39:39.21,0.74593,340.25,7.314,14.99,False,False,
36,IC180423A,HESE,,,,,2018-04-23 02:28:40.98,,294.882,71.953,534.0,True,False,retracted
37,IC180908A,EHE,144.58,"[1.55, -1.45]",-2.13,"[0.9, -1.2]",2018-09-08 19:59:31.84,0.34364,145.7729,-2.5178,20.36,False,False,
38,IC181014A,HESE,225.15,"[1.4, -2.85]",-34.8,"[1.15, -1.85]",2018-10-14 11:52:19.07,,225.1839,-34.792,73.79,False,False,
39,IC181023A,EHE,270.18,"[2.0, -1.7]",-8.57,"[1.25, -1.3]",2018-10-23 16:37:32.65,0.28016,269.836,-8.8863,17.5,False,False,
40,IC181031A,HESE,,,,,2018-10-31 02:02:51.41,,182.792,-68.3884,73.79,True,False,retracted
41,IC190104A,HESE,357.98,"[2.3, -2.1]",-26.65,"[2.2, -2.5]",2019-01-04 08:34:38.23,,359.3299,-25.3659,73.79,False,False,
42,IC190124A,HESE,307.4,"[0.8, -0.9]",-32.18,"[0.7, -0.7]",2019-01-24 03:43:54.79,,307.192,-32.2914,73.79,False,False,
43,IC190205A,HESE,,,,,2019-02-05 21:21:10.50,,128.6959,-53.3143,73.79,True,False,retracted
44,IC190221A,HESE,268.81,"[1.2,-1.8]",-17.04,"[1.3, -0.5]",2019-02-21 08:25:39.71,,267.365,-16.9379,73.79,False,False,
45,IC190331A,HESE,337.68,"[0.23, -0.34]",-20.7,"[0.3, -0.48]",2019-03-31 06:55:43.44,,355.6349,71.117,534.0,False,False,
0,IC190503A,EHE,120.28,"[0.57, -0.77]",6.35,"[0.76, -0.7]",2019-05-03 17:23:08.72,0.36,120.304,6.3568,14.99,False,False,
46,IC190504A,HESE,65.7866,,-37.4431,,2019-05-04 18:25:18.39,,65.7866,-37.4431,73.79,False,True,direction uncertainty missing
47,IC190529A,HESE,,,,,2019-05-29 01:55:22.21,,287.319,78.1432,534.0,True,False,retracted
1,IC190619A,GOLD,343.26,"[4.08, -2.63]",10.73,"[1.51, -2.61]",2019-06-19 13:14:18.04,0.55,342.7772,10.0547,40.28,False,False,
48,IC190629A,BRONZE,27.22,,84.33,"[4.95, -3.13]",2019-06-29 19:24:15.12,0.33892,25.6392,84.5382,114.81,False,False,
49,IC190704A,BRONZE,161.85,"[2.16, -4.33]",27.11,"[1.81, -1.83]",2019-07-04 18:48:52.25,0.48607,161.408,27.419,51.0,False,False,
50,IC190712A,BRONZE,76.46,"[5.09, -6.83]",13.06,"[4.48, -3.44]",2019-07-12 01:15:17.38,0.30332,78.8869,12.4438,117.35,False,False,
2,IC190730A,GOLD,225.79,"[1.28, -1.43]",10.47,"[1.14, -0.89]",2019-07-30 20:50:41.31,0.67,226.8302,10.5078,45.31,False,False,
51,IC190819A,BRONZE,148.8,"[2.07, -3.24]",1.38,"[1.0, -0.75]",2019-08-19 17:34:24.23,0.29215,148.807,0.9571,30.8,False,False,
52,IC190922A,GOLD,167.43,"[3.4, -2.63]",-22.39,"[2.88, -2.89]",2019-09-22 09:42:45.62,0.20165,166.9361,-24.5066,199.9,False,False,
3,IC190922B,GOLD,5.76,"[1.19, -1.37]",-1.57,"[0.93, -0.82]",2019-09-22 23:03:55.56,0.51,6.0049,-1.4881,38.02,False,False,
4,IC191001A,GOLD,314.08,"[6.56, -2.26]",12.94,"[1.5, -1.47]",2019-10-01 20:09:18.17,0.59,314.355,12.5755,47.2,False,False,
53,IC191119A,GOLD,230.1,"[4.76, -6.48]",3.17,"[3.36, -2.09]",2019-11-19 01:01:29.38,0.44999,228.668,3.35,35.14,False,False,
54,IC191122A,BRONZE,27.25,"[1.7, -2.9]",-0.04,"[1.17, -1.49]",2019-11-22 22:45:10.49,0.33128,28.2526,0.0747,30.8,False,False,
55,IC191204A,BRONZE,79.72,"[3.2, -1.74]",2.8,"[1.12, -1.23]",2019-12-04 22:46:11.31,0.32711,79.4003,2.8418,30.8,False,False,
56,IC191215A,BRONZE,285.87,"[2.88, -3.19]",58.92,"[1.85, -2.25]",2019-12-15 11:09:57.63,0.4749,286.9935,58.3148,47.26,False,False,
57,IC191231A,BRONZE,46.36,"[4.27, -3.47]",20.42,"[2.11, -2.8]",2019-12-31 11:00:06.07,0.46281,48.2727,18.7073,38.05,False,False,
5,IC200107A,EXTRA,148.18,"[2.2, -1.83]",35.46,"[1.1, -1.22]",2020-01-07 09:42:18.36,0.5,,,,False,False,
6,IC200109A,GOLD,164.49,"[4.94, -4.19]",11.87,"[1.16, -1.36]",2020-01-09 23:41:39.93,0.77,165.2663,14.9288,116.57,False,False,
7,IC200117A,BRONZE,116.24,"[0.71, -1.24]",29.14,"[0.9, -0.78]",2020-01-17 11:08:29.69,0.38,115.9608,29.3197,30.8,False,False,
58,IC200120A,BRONZE,,,,,2020-01-20 18:48:18.55,,67.7381,-14.587,30.8,True,False,retracted
59,IC200227A,BRONZE,348.26,,21.32,,2020-02-27 05:36:31.49,0.35075,348.2598,21.3235,30.8,False,True,direction uncertainty missing
60,IC200410A,BRONZE,242.58,"[14.05, -13.35]",11.61,"[7.87, -6.21]",2020-04-10 23:19:55.48,0.30535,241.2657,11.585,31.84,False,False,
61,IC200421A,BRONZE,87.93,"[3.44,-2.83]",8.23,"[2.09, -1.84]",2020-04-21 00:35:24.24,0.33312,89.2549,7.9065,36.65,False,False,
62,IC200425A,BRONZE,100.1,"[4.67, -3.14]",53.57,"[2.45, -1.6]",2020-04-25 23:26:46.34,0.48106,100.5857,52.648,56.83,False,False,
8,IC200512A,BRONZE,295.18,"[1.72, -2.26]",15.79,"[1.26, -1.29]",2020-05-12 07:31:27.75,0.32,295.4176,15.9766,32.49,False,False,
63,IC200523A,BRONZE,338.64,"[10.77, -6.07]",1.75,"[1.84, -3.54]",2020-05-23 02:30:07.59,0.24998,338.9127,2.1494,93.4,False,False,
9,IC200530A,GOLD,255.37,"[2.48, -2.56]",26.61,"[2.33, -3.28]",2020-05-30 07:54:29.43,0.59,254.3994,27.4596,32.59,False,False,
64,IC200614A,BRONZE,33.84,"[4.77, -6.39]",31.61,"[2.75, -2.28]",2020-06-14 12:41:21.41,0.41553,28.7043,31.1927,71.45,False,False,
65,IC200615A,GOLD,142.95,"[1.18, -1.45]",3.66,"[1.19, -1.06]",2020-06-15 14:49:17.37,0.82832,143.4519,3.7891,55.21,False,False,
10,IC200620A,BRONZE,162.11,"[0.64, -0.95]",11.95,"[0.63, -0.48]",2020-06-20 03:03:32.28,0.32,162.2481,11.9072,30.8,False,False,
66,IC200728A,GOLD,,,,,2020-07-28 08:17:51.99,,117.5554,-24.8475,30.8,True,False,retracted
67,IC200806A,BRONZE,157.25,"[1.21, -0.89]",47.75,"[0.65, -0.64]",2020-08-06 13:50:56.43,0.39728,157.1184,47.7174,30.8,False,False,
68,IC200911A,BRONZE,51.11,"[4.42, -11.01]",38.11,"[2.35, -1.99]",2020-09-11 14:19:46.23,0.40813,42.17,38.1328,32.58,False,False,
11,IC200916A,BRONZE,109.78,"[1.08, -1.44]",14.36,"[0.88, -0.85]",2020-09-16 20:40:30.95,0.32,109.4019,14.3487,39.35,False,False,
69,IC200921A,BRONZE,195.29,"[2.35, -1.73]",26.24,"[1.51, -1.77]",2020-09-21 19:07:12.89,0.40945,195.1971,26.4296,30.8,False,False,
12,IC200926A,GOLD,96.46,"[0.73, -0.55]",-4.33,"[0.61, -0.76]",2020-09-26 07:54:11.62,0.44,96.5731,-4.2048,30.8,False,False,
70,IC200926B,BRONZE,184.75,"[3.64, -1.55]",32.93,"[1.15, -0.91]",2020-09-26 22:35:29.22,0.43381,188.799,32.069,30.8,False,False,
13,IC200929A,GOLD,29.53,"[0.53, -0.53]",3.47,"[0.71, -0.35]",2020-09-29 17:48:36.83,0.47,29.0479,3.081,30.8,False,False,
14,IC201007A,GOLD,265.17,"[0.52, -0.52]",5.34,"[0.32, -0.23]",2020-10-07 22:01:49.28,0.88,265.058,5.382,30.8,False,False,
71,IC201014A,BRONZE,221.22,"[1.0, -0.75]",14.44,"[0.67, -0.46]",2020-10-14 02:13:27.53,0.41371,220.3816,14.4172,40.81,False,False,
15,IC201021A,BRONZE,260.82,"[1.73, -1.68]",14.55,"[1.35, -0.74]",2020-10-21 06:37:47.48,0.3,260.689,14.6529,30.8,False,False,
72,IC201114A,BRONZE,105.25,"[1.28, -1.12]",6.05,"[0.95, -0.95]",2020-11-14 15:05:31.96,0.56208,104.6881,5.9423,30.8,False,False,
73,IC201115A,GOLD,195.12,"[1.27, -1.49]",1.38,"[1.3, -1.11]",2020-11-15 02:07:26.21,0.45973,193.7576,1.2903,30.8,False,False,
74,IC201115B,GOLD,,,,,2020-11-15 16:01:42.96,,148.7519,-21.6418,51.89,True,False,retracted
75,IC201120A,BRONZE,307.53,"[5.34, -5.59]",40.77,"[4.97, -2.8]",2020-11-20 09:44:40.55,0.50338,307.8471,40.1903,30.8,False,False,
16,IC201130A,GOLD,30.54,"[1.13, -1.31]",-12.1,"[1.15, -1.13]",2020-11-30 20:21:46.47,0.15,30.495,-11.6137,42.65,False,False,
17,IC201209A,GOLD,6.86,"[1.02, -1.22]",-9.25,"[0.99, -1.14]",2020-12-09 10:15:43.94,0.19,6.401,-10.0181,35.26,False,False,
76,IC201221A,GOLD,261.69,"[2.29, -2.5]",41.81,"[1.29, -1.2]",2020-12-21 12:36:53.45,0.56429,262.5451,41.4062,62.12,False,False,
18,IC201222A,GOLD,206.37,"[0.9, -0.8]",13.44,"[0.55, -0.38]",2020-12-22 00:56:16.14,0.53,206.6403,13.4825,30.8,False,False,
19,IC210210A,GOLD,206.06,"[1.4, -0.95]",4.78,"[0.62, -0.56]",2021-02-10 11:53:55.64,0.65,206.1922,4.7734,30.8,False,False,
77,IC210213A,GOLD,,,,,2021-02-13 18:40:24.51,,155.2582,-35.3994,71.4,True,False,retracted
78,IC210322A,BRONZE,,,,,2021-03-22 02:34:09.17,,85.5066,-44.7217,39.13,True,False,retracted
79,IC210503A,BRONZE,143.53,"[7.71, -5.16]",41.81,"[5.02, -5.68]",2021-05-03 22:19:32.96,0.41387,,,,False,False,
20,IC210510A,BRONZE,268.42,"[1.47, -1.6]",3.81,"[0.68, -0.64]",2021-05-10 04:50:10.73,0.28,267.9106,4.0004,30.8,False,False,
80,IC210516A,BRONZE,91.76,"[1.05, -0.97]",9.52,"[0.5, -0.58]",2021-05-16 14:38:20.33,0.2886,91.8213,9.7002,30.8,False,False,
81,IC210519A,BRONZE,,,,,2021-05-19 20:40:02.93,,167.6902,-25.8725,129.06,True,False,retracted
82,IC210608A,BRONZE,337.41,"[4.89, -11.64]",18.37,"[3.75, -3.24]",2021-06-08 03:41:00.97,0.31467,337.0182,18.647,78.35,False,False,
21,IC210629A,BRONZE,340.75,"[1.11, -2.23]",12.94,"[0.91, -0.93]",2021-06-29 18:09:44.22,0.35075,340.635,12.6111,30.8,False,False,
83,IC210717A,EXTRA,46.49,"[2.40, -2.57]",-1.34,"[2.63, -3.41]",2021-07-17 15:45:19.48,0.5,,,,False,False,
84,IC210730A,BRONZE,105.73,"[2.00, -1.85]",14.79,"[0.91, -0.86]",2021-07-30 22:12:40.62,0.31923,105.836,14.8168,30.8,False,False,
22,IC210811A,GOLD,270.79,"[1.07, -1.08]",25.28,"[0.79, -0.84]",2021-08-11 02:02:44.03,0.658,271.4236,25.3668,30.8,False,False,
