HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459416.69383,2021-07-21.1900648,bE,2.43,15.975,15.150,0.102,3.164,0.296,g
2459416.69512,2021-07-21.1913622,bE,2.45,16.051,15.269,0.107,2.834,0.276,g
2459416.69643,2021-07-21.1926659,bE,1.79,16.087,15.467,0.124,2.362,0.267,g
2459418.68619,2021-07-23.1823087,bE,2.27,15.231,15.188,0.211,3.054,0.588,g
2459418.68749,2021-07-23.1836148,bE,2.12,15.385,15.154,0.177,3.152,0.509,g
2459418.68880,2021-07-23.1849204,bE,2.17,15.473,15.265,0.181,2.845,0.470,g
2459421.75859,2021-07-26.2545348,bi,1.54,15.964,15.711,0.174,1.886,0.299,g
2459421.75983,2021-07-26.2557847,bi,1.58,15.913,15.654,0.173,1.988,0.313,g
2459421.76107,2021-07-26.2570217,bi,1.56,15.875,15.214,0.119,2.981,0.324,g
2459422.69406,2021-07-27.1899537,bi,1.86,15.766,15.261,0.138,2.854,0.359,g
2459422.69530,2021-07-27.1911952,bi,1.76,15.797,15.131,0.119,3.220,0.349,g
2459422.69654,2021-07-27.1924366,bi,1.74,15.835,15.249,0.128,2.887,0.337,g
2459423.71913,2021-07-28.2149703,bi,2.16,16.135,15.342,0.106,2.650,0.255,g
2459423.72037,2021-07-28.2162108,bi,2.15,16.173,15.455,0.113,2.388,0.246,g
2459423.72162,2021-07-28.2174635,bi,2.18,16.121,15.192,0.093,3.043,0.259,g
2459424.70716,2021-07-29.2029525,bi,2.37,16.219,15.189,0.085,3.049,0.236,g
2459424.70841,2021-07-29.2042049,bi,2.39,16.259,15.154,0.079,3.150,0.228,g
2459424.70965,2021-07-29.2054423,bi,2.37,16.322,15.255,0.082,2.870,0.215,g
2459425.71290,2021-07-30.2086461,bE,1.46,16.793,15.250,0.053,2.886,0.139,g
2459425.71421,2021-07-30.2099509,bE,1.39,16.688,15.327,0.062,2.687,0.154,g
2459425.71552,2021-07-30.2112614,bE,1.43,16.745,15.218,0.054,2.972,0.146,g
2459426.66721,2021-07-31.1629024,bi,1.36,16.806,15.302,0.055,2.749,0.138,g
2459426.66844,2021-07-31.1641405,bi,1.38,16.819,15.294,0.054,2.770,0.136,g
2459426.66969,2021-07-31.1653800,bi,1.36,16.778,15.336,0.058,2.665,0.141,g
2459427.66086,2021-08-01.1565100,bi,1.38,16.788,15.182,0.050,3.071,0.140,g
2459427.66209,2021-08-01.1577390,bi,1.35,16.822,15.273,0.052,2.823,0.136,g
2459427.66334,2021-08-01.1589912,bi,1.37,16.837,15.247,0.050,2.891,0.134,g
2459429.77748,2021-08-03.2730381,bi,1.54,16.865,15.243,0.049,2.902,0.130,g
2459429.77872,2021-08-03.2742760,bi,1.59,16.813,15.247,0.052,2.892,0.137,g
2459429.77996,2021-08-03.2755178,bi,1.60,16.995,15.398,0.050,2.516,0.116,g
2459430.73187,2021-08-04.2273858,bi,1.38,16.858,15.262,0.050,2.854,0.131,g
2459430.73311,2021-08-04.2286252,bi,1.43,16.943,15.348,0.050,2.635,0.122,g
2459430.73436,2021-08-04.2298741,bi,1.34,16.891,15.324,0.052,2.693,0.127,g
2459431.72369,2021-08-05.2191506,bi,1.42,16.870,15.273,0.050,2.823,0.130,g
2459431.72494,2021-08-05.2203984,bi,1.40,16.904,15.284,0.049,2.793,0.126,g
2459431.72616,2021-08-05.2216252,bi,1.39,16.897,15.248,0.048,2.890,0.127,g
2459432.67061,2021-08-06.1660336,bi,1.43,16.855,15.187,0.047,3.058,0.132,g
2459432.67184,2021-08-06.1672680,bi,1.39,16.911,15.277,0.048,2.815,0.125,g
2459432.67308,2021-08-06.1685065,bi,1.40,16.881,15.282,0.050,2.800,0.129,g
2459434.79199,2021-08-08.2873318,bA,1.72,17.388,15.342,0.033,2.649,0.081,g
2459434.79325,2021-08-08.2885877,bA,1.67,17.345,15.326,0.034,2.690,0.084,g
2459434.79452,2021-08-08.2898574,bA,1.68,17.403,15.327,0.032,2.687,0.080,g
2459436.62877,2021-08-10.1240402,bE,1.57,16.909,15.289,0.049,2.782,0.125,g
2459436.63006,2021-08-10.1253296,bE,1.56,16.913,15.233,0.046,2.929,0.125,g
2459436.63136,2021-08-10.1266275,bE,1.57,16.907,15.237,0.047,2.920,0.126,g
2459437.64307,2021-08-11.1383067,bE,1.43,17.029,15.256,0.043,2.870,0.112,g
2459437.64438,2021-08-11.1396167,bE,1.43,16.990,15.243,0.044,2.903,0.116,g
2459437.64567,2021-08-11.1409126,bE,1.45,17.019,15.223,0.042,2.958,0.113,g
2459438.69707,2021-08-12.1922725,bE,1.44,15.820,15.303,0.136,2.748,0.342,g
2459438.69836,2021-08-12.1935599,bE,1.45,15.050,>15.050,99.990,1.447,0.694,g
2459438.69967,2021-08-12.1948693,bE,1.46,16.175,15.146,0.085,3.174,0.247,g
2459439.00995,2021-08-12.5051362,bA,1.68,17.512,15.332,0.029,2.675,0.072,g
2459439.01120,2021-08-12.5063922,bA,1.67,17.514,15.398,0.031,2.517,0.072,g
2459439.01248,2021-08-12.5076682,bA,1.67,17.538,15.332,0.029,2.675,0.071,g
2459439.86057,2021-08-13.3557398,bi,1.58,16.826,15.253,0.051,2.876,0.135,g
2459439.86181,2021-08-13.3569783,bi,1.59,16.739,15.329,0.060,2.680,0.146,g
2459440.94320,2021-08-14.4383288,bA,1.70,17.525,15.353,0.029,2.624,0.071,g
2459440.94447,2021-08-14.4395918,bA,1.71,17.491,15.301,0.029,2.754,0.074,g
2459440.94572,2021-08-14.4408513,bA,1.71,17.467,15.247,0.028,2.893,0.075,g
2459444.04664,2021-08-17.5416759,bA,1.67,17.443,15.276,0.030,2.815,0.077,g
2459444.04789,2021-08-17.5429293,bA,1.64,17.482,15.327,0.030,2.687,0.074,g
2459444.04915,2021-08-17.5441922,bA,1.64,17.426,15.333,0.032,2.671,0.078,g
2459445.93668,2021-08-19.4316746,bA,2.02,16.745,15.304,0.058,2.743,0.146,g
2459445.93795,2021-08-19.4329540,bA,2.02,16.587,15.351,0.070,2.628,0.169,g
2459445.93922,2021-08-19.4342184,bA,2.03,16.681,15.344,0.064,2.646,0.155,g
2459447.76297,2021-08-21.2579406,bi,1.39,15.692,15.448,0.175,2.404,0.384,g
2459447.76421,2021-08-21.2591811,bi,1.45,15.809,15.536,0.170,2.216,0.345,g
2459447.76547,2021-08-21.2604333,bi,1.39,15.813,15.365,0.145,2.594,0.343,g
2459450.80610,2021-08-24.3010040,bq,1.52,15.297,15.112,0.185,3.275,0.553,g
2459450.80857,2021-08-24.3034706,bq,1.53,15.607,14.568,0.085,5.406,0.418,g
2459453.99359,2021-08-27.4884494,bA,1.64,17.021,15.317,0.046,2.711,0.113,g
2459453.99484,2021-08-27.4897079,bA,1.66,16.965,15.286,0.047,2.789,0.119,g
2459453.99612,2021-08-27.4909800,bA,1.66,16.941,15.332,0.050,2.674,0.122,g
2459455.80320,2021-08-29.2980432,bA,1.73,17.435,15.246,0.029,2.896,0.077,g
2459455.80446,2021-08-29.2993099,bA,1.72,17.406,15.210,0.029,2.992,0.080,g
2459455.80572,2021-08-29.3005738,bA,1.75,17.380,15.262,0.031,2.850,0.082,g
2459457.65044,2021-08-31.1452746,bE,1.63,16.992,15.239,0.043,2.913,0.116,g
2459457.65174,2021-08-31.1465704,bE,1.61,17.012,15.216,0.042,2.974,0.114,g
2459457.65304,2021-08-31.1478666,bE,1.68,16.984,15.327,0.047,2.687,0.117,g
2459458.38263,2021-08-31.8774569,bm,1.62,99.990,99.990,99.990,99.990,99.990,g
