HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458274.53602,2018-06-05.0321592,bn,1.62,17.736,>17.736,99.990,0.025,0.058,g
2458274.83643,2018-06-05.3325748,bb,1.69,18.080,>18.080,99.990,0.093,0.045,V
2458275.53659,2018-06-06.0327324,bn,1.54,18.098,>18.098,99.990,-0.092,0.042,g
2458275.95482,2018-06-06.4509646,bb,1.98,18.400,>18.400,99.990,0.054,0.033,V
2458277.89072,2018-06-08.3868738,bb,1.71,18.569,>18.569,99.990,0.048,0.029,V
2458279.99239,2018-06-10.4885511,bb,1.69,18.149,>18.149,99.990,0.124,0.042,V
2458281.90283,2018-06-12.3990011,bb,1.69,18.388,>18.388,99.990,-0.072,0.034,V
2458283.88672,2018-06-14.3829002,br,1.45,18.806,>18.806,99.990,-0.037,0.022,g
2458290.82915,2018-06-21.3254358,bb,1.75,17.957,>17.957,99.990,-0.019,0.050,V
2458291.91184,2018-06-22.4081322,br,1.42,18.653,>18.653,99.990,-0.007,0.025,g
2458294.83064,2018-06-25.3269846,bb,1.99,17.448,>17.448,99.990,0.107,0.080,V
2458295.75423,2018-06-26.2506037,bj,1.62,16.764,>16.764,99.990,0.250,0.143,g
2458296.85482,2018-06-27.3512142,bb,2.06,16.990,>16.990,99.990,-0.143,0.123,V
2458298.38299,2018-06-28.8794202,bn,1.49,17.140,>17.140,99.990,-0.001,0.101,g
2458300.62485,2018-07-01.1213405,bj,2.11,17.511,>17.511,99.990,-0.027,0.072,g
2458303.45646,2018-07-03.9530269,bn,1.50,17.338,>17.338,99.990,-0.114,0.084,g
2458303.93046,2018-07-04.4270451,bb,1.63,17.888,>17.888,99.990,-0.023,0.054,V
2458304.45385,2018-07-04.9504456,bn,1.61,18.103,>18.103,99.990,0.010,0.042,g
2458304.73251,2018-07-05.2291141,br,1.40,18.768,>18.768,99.990,0.030,0.023,g
2458305.37655,2018-07-05.8731747,bn,1.76,18.767,>18.767,99.990,-0.014,0.023,g
2458306.36965,2018-07-06.8662993,bn,1.56,18.686,>18.686,99.990,-0.035,0.024,g
2458307.36648,2018-07-07.8631655,bn,1.54,18.478,>18.478,99.990,-0.036,0.029,g
2458308.36298,2018-07-08.8597006,bn,1.55,18.546,>18.546,99.990,-0.034,0.028,g
2458308.72032,2018-07-09.2170479,bf,1.43,18.035,>18.035,99.990,0.064,0.047,V
2458309.71870,2018-07-10.2154646,bf,1.49,18.110,>18.110,99.990,0.012,0.044,V
2458310.37044,2018-07-10.8672299,bn,1.47,18.688,>18.688,99.990,-0.025,0.024,g
2458311.60615,2018-07-12.1029883,bf,1.47,18.280,>18.280,99.990,-0.035,0.037,V
2458313.68520,2018-07-14.1821129,br,1.43,18.806,>18.806,99.990,-0.023,0.022,g
2458316.89197,2018-07-17.3890103,bb,2.08,18.227,>18.227,99.990,-0.036,0.039,V
2458318.78718,2018-07-19.2842995,bb,1.68,17.945,>17.945,99.990,-0.143,0.051,V
2458319.31422,2018-07-19.8113692,bn,1.52,17.485,>17.485,99.990,-0.268,0.074,g
2458319.66745,2018-07-20.1646181,bj,1.58,17.809,>17.809,99.990,0.264,0.055,g
2458319.83592,2018-07-20.3330883,br,1.43,18.632,>18.632,99.990,-0.026,0.026,g
2458320.30799,2018-07-20.8051809,bn,1.52,17.907,>17.907,99.990,0.121,0.050,g
2458321.30806,2018-07-21.8052928,bn,1.56,17.582,>17.582,99.990,-0.278,0.067,g
2458321.86615,2018-07-22.3634179,bb,1.63,17.653,>17.653,99.990,0.017,0.067,V
2458322.30461,2018-07-22.8018871,bn,1.61,17.733,>17.733,99.990,-0.089,0.059,g
2458323.29840,2018-07-23.7957361,bn,1.69,17.291,>17.291,99.990,-0.116,0.088,g
2458324.30264,2018-07-24.8000115,bn,1.60,17.417,>17.417,99.990,-0.196,0.078,g
2458324.66950,2018-07-25.1668864,bj,2.00,17.081,>17.081,99.990,-0.244,0.107,g
2458325.29998,2018-07-25.7974009,bn,1.58,17.051,>17.051,99.990,-0.028,0.110,g
2458325.78766,2018-07-26.2851053,bb,2.10,17.440,>17.440,99.990,0.375,0.081,V
2458326.39100,2018-07-26.8884728,bn,1.60,16.873,>16.873,99.990,-0.113,0.129,g
2458327.38884,2018-07-27.8863596,bn,1.55,18.472,>18.472,99.990,-0.117,0.030,g
2458328.35795,2018-07-28.8555218,bn,1.60,16.873,>16.873,99.990,0.042,0.129,g
2458330.37755,2018-07-30.8752317,bn,1.60,17.106,>17.106,99.990,-0.082,0.104,g
2458332.64379,2018-08-02.1415832,bj,1.56,17.582,>17.582,99.990,0.020,0.067,g
2458333.29377,2018-08-02.7916045,bn,1.53,18.544,>18.544,99.990,-0.007,0.028,g
2458334.29102,2018-08-03.7888954,bn,1.52,18.722,>18.722,99.990,-0.090,0.024,g
2458335.63340,2018-08-05.1313552,bj,1.76,18.246,>18.246,99.990,-0.089,0.037,g
2458336.60420,2018-08-06.1022060,bj,1.73,18.337,>18.337,99.990,-0.142,0.034,g
2458337.26891,2018-08-06.7669483,bn,1.67,18.307,>18.307,99.990,0.063,0.035,g
2458337.69815,2018-08-07.1962232,br,1.37,18.751,>18.751,99.990,-0.095,0.023,g
2458338.62985,2018-08-08.1279774,bf,1.45,18.171,>18.171,99.990,-0.022,0.041,V
2458339.28479,2018-08-08.7829481,bn,1.48,18.816,>18.816,99.990,-0.036,0.022,g
2458340.28134,2018-08-09.7795509,bn,1.47,18.582,>18.582,99.990,-0.148,0.027,g
2458341.28947,2018-08-10.7877469,bn,1.54,18.588,>18.588,99.990,-0.088,0.027,g
2458341.58751,2018-08-11.0858062,bf,1.45,18.162,>18.162,99.990,-0.104,0.042,V
2458342.27400,2018-08-11.7723254,bn,1.69,18.612,>18.612,99.990,-0.081,0.026,g
2458342.61403,2018-08-12.1123776,bf,1.44,18.065,>18.065,99.990,0.112,0.046,V
