# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-23 at 08:02:44
#
# Requested input R.A. = 333.1687755 degrees
# Requested input Dec. = +18.0510409 degrees
# Requested JD start = 2459070.50000 days
# Requested JD end = 2459170.50000 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 596 6 1 ZTF_g 1316370232115 0 1.7687 112.887 8.23305 26.3262 4.4023e-06 0.0304055 -0.0689312 8.07094e-06 1365 30. 0.056935 0.046524 20.3328 26.3262 1 2459070.8702315 596120121 -168.100317650113 32.9021388226093 -5.68328198473909 1.19414263699089 -310.565370559995 63.4562923063726 -4.92712440067458 1.04383021166062 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 1 596 6 1 ZTF_r 1317392152115 0 1.8011 172.923 7.09732 26.3131 3.039e-06 0.0249275 0.101611 5.48275e-06 1347 30. 0.076868 0.048039 20.4762 26.3131 1 2459071.8921528 596120221 3.45098187351266 30.1939113442301 0.127138798734401 2.03409669117241 -97.8950835504453 57.660156653065 -1.70922901169925 1.04404765023762 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 2 596 6 1 ZTF_g 1317450902115 0 1.8098 109.315 7.71419 26.309 4.8196e-06 0.0314724 -0.0865493 8.95015e-06 1345 30. 0.060915 0.043879 20.3814 26.309 1 2459071.9509028 596120121 -102.029702904999 31.2049501378128 -3.63712251376674 1.23050304723092 -169.893458780232 60.3243120209057 -2.83530296940059 1.04629547964825 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 56
 3 596 6 1 ZTF_r 1318330052115 0 1.5659 168.082 6.50901 26.2961 3.553e-06 0.0272423 0.0981237 6.43377e-06 1364 30. 0.089039 0.052396 20.607 26.2961 1 2459072.8300579 596120221 -34.2030907800576 26.3033743354116 -1.44646752793719 3.20028410959063 -3.602508623352 51.6770240989938 -0.0701815127599597 1.03091931221006 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 4 596 6 1 ZTF_g 1318416372115 0 2.0913 106.941 6.70975 26.2783 7.0107e-06 0.0380019 -0.085751 1.28595e-05 1349 30. 0.081522 0.045409 20.3736 26.2783 1 2459072.9163773 596120121 -104.501206292634 29.6127400016728 -3.9255228638943 1.30053397460833 -81.2459251479983 53.854510595856 -1.51877939699708 1.0466358214202 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 5 596 6 1 ZTF_g 1319341462115 0 1.893 110.241 5.40993 26.3151 9.9255e-06 0.0451169 -0.127445 1.80372e-05 1345 30. 0.113473 0.044701 20.7025 26.3151 1 2459073.8414699 596120121 -154.278729276027 24.9169270363369 -6.88757551951014 1.50383117139172 -147.240519800729 47.3380828954509 -3.13135184414706 1.04820919769399 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 6 596 6 1 ZTF_r 1320409542115 0 1.3661 12.6273 11.2063 23.6018 0.000351046 0.154957 0.0661409 0.000757065 506 30. 0.068839 0.080286 17.4213 23.6018 1 2459074.9095486 596120221 62.3069945508193 41.5414863407716 1.66843607946156 0.999013922321475 187.537746736311 92.633954466515 2.03813844866997 1.03338318950336 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 7 596 6 1 ZTF_r 1321330502115 0 1.4098 159.76 5.46786 26.2418 6.2401e-06 0.0358714 0.0923417 1.13143e-05 1348 30. 0.109741 0.06108 20.7471 26.2418 1 2459075.8305093 596120221 -281.904036217746 27.2997266074166 -11.4867666150063 1.81360409606314 -240.530931737535 55.4935118282313 -4.36358978597788 1.03195784766332 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 8 596 6 1 ZTF_g 1321351302115 0 1.6677 100.421 4.25124 26.2084 2.22252e-05 0.0670659 -0.151308 4.1579e-05 1322 30. 0.158336 0.047942 20.8887 26.2084 1 2459075.8513079 596120121 -58.8844319066805 23.4613317751658 -2.79191781253885 1.84086185267787 -198.057068150718 45.538327353394 -4.37853134904499 1.04310335055183 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
