# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2021-11-23 at 09:27:18
#
# Requested input R.A. = 333.1687755 degrees
# Requested input Dec. = +18.0510409 degrees
# Requested JD start = 2459006.50000 days
# Requested JD end = 2459576.50000 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 596 6 1 ZTF_g 1256466622115 0 2.1347 111.259 10.4398 26.3286 5.2623e-06 0.0323073 -0.0538818 1.01711e-05 1308 30. 0.052483 0.044321 19.9039 26.3286 1 2459010.9666204 596120121 -72.8634306261815 49.5765210218533 -1.63488936593944 0.899079643236236 -57.0226491311344 88.5423484861925 -0.648353030333023 1.05474768177207 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 1 596 6 1 ZTF_r 1259358692115 0 2.1886 162.356 7.60455 26.2576 2.7652e-06 0.0239693 0.0989538 4.95639e-06 1369 30. 0.084297 0.048689 20.1631 26.2576 1 2459013.8586921 596120221 -189.201580273007 35.5003502599149 -5.92852864439332 1.81122687112838 -154.952523810996 63.8411905645582 -2.44350295780111 1.04198943429263 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 2 596 6 1 ZTF_r 1262466122115 0 1.6006 169.043 5.35295 26.2924 6.1278e-06 0.0356203 0.0901026 1.10791e-05 1356 30. 0.12766 0.049806 20.7666 26.2924 1 2459016.9661227 596120221 -174.166632511848 27.7392467708912 -6.98433548216751 2.14647357373531 -263.222805900588 55.2533929638506 -4.79600640663283 1.03525791014752 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 3 596 6 1 ZTF_g 1265342152115 0 2.2139 94.0204 4.26948 26.1371 2.12856e-05 0.0661267 -0.158432 3.89384e-05 1345 30. 0.204382 0.061368 20.6471 26.1371 1 2459019.8421528 596120121 -206.133541721808 27.687039622996 -8.28184206248291 1.78730256136544 -57.0949862073192 50.475226395597 -1.13876704135782 1.04949885147667 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 4 596 6 1 ZTF_g 1268385912115 0 2.3072 106.119 4.03591 26.2606 2.36385e-05 0.0701698 -0.174518 4.25045e-05 1359 30. 0.228948 0.047011 20.7761 26.2606 1 2459022.8859144 596120121 -180.725588706956 28.1142017532451 -7.15070220729837 1.88808658850758 -370.074733661628 48.7556566219483 -7.64151760223319 1.05631214184558 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 5 596 6 1 ZTF_r 1268478442115 0 1.4559 173.896 7.19258 26.3376 3.1833e-06 0.0255714 0.092008 5.7809e-06 1349 30. 0.075565 0.06247 20.5812 26.3376 1 2459022.9784491 596120221 -90.7804238876418 31.2004708521099 -3.23657637185409 2.73558549829456 -357.199802484787 62.0529891670662 -5.7951368424462 1.03009475743684 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 6 596 6 1 ZTF_g 1271337432115 0 2.5392 102.762 4.23325 26.2257 2.16365e-05 0.0666942 -0.163158 3.93167e-05 1356 30. 0.224301 0.051401 20.6087 26.2257 1 2459025.8374306 596120121 -113.998548390879 30.4317886511419 -4.16703015483122 1.9003538140749 -61.3253926635819 50.866579051927 -1.21373255017792 1.06657266241351 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
 7 596 6 1 ZTF_r 1271396072115 0 1.743 149.623 4.97999 26.1526 1.20844e-05 0.0497746 0.0819533 2.1972e-05 1356 30. 0.154121 0.048226 20.6941 26.1526 1 2459025.8960764 596120221 401.60998646138 33.2609307288315 13.4315120734226 1.79866417924784 630.910492931243 63.7287919744756 9.96660523009606 1.03449822040519 0.211280122804579 15.4939998626709 0.061999998986721 5.43100023269653 0.296999990940094 2458244.982639 2458379.809039 0
 8 596 6 1 ZTF_g 1276386972115 0 2.6529 102.669 4.4195 26.2218 2.02731e-05 0.0645008 -0.159944 3.71005e-05 1346 30. 0.229013 0.054024 20.5166 26.2218 1 2459030.8869792 596120121 -282.273603327009 31.9493693320284 -9.82794638394641 1.67858602909592 -193.459006545671 52.1633863918004 -3.73369095753371 1.06517302947438 0.256007690606281 16.4600002288818 0.0599999986588955 5.40000009536743 0.256000012159348 2458247.983391 2458282.934097 0
