Event,Fermi Cat,Macth ind,3FHL Name,4FGL Name,Fermi ra,Fermi dec,Counterpart,Counterpart ra,Counterpart dec,Counterpart prob,ra,dec
IC161103A,4FGL,0,                  ,4FGL J0244.7+1316 ,41.192,13.2799,GB6 J0244+1320              ,41.1903889042,13.3353393,0.0,41.192,13.2799
IC170922A,4FGL,0,3FHL J0509.4+0542 ,4FGL J0509.4+0542 ,77.3593,5.7014,TXS 0506+056                ,77.3581852833,5.69314818611,0.9901848435401917,77.3581852833,5.69314818611
IC181014A,4FGL,0,3FHL J1457.5-3538 ,4FGL J1457.4-3539 ,224.3657,-35.6527,PKS 1454-354                ,224.36129875,-35.6527698861,0.994556725025177,224.36129875,-35.6527698861
IC181014A,4FGL,1,                  ,4FGL J1505.0-3433 ,226.2581,-34.5546,PMN J1505-3432              ,226.259876379,-34.5491167778,0.9717896580696106,226.259876379,-34.5491167778
IC181023A,4FGL,0,                  ,4FGL J1804.4-0852 ,271.1182,-8.8694,,,,0.0,271.1182,-8.8694
IC181023A,4FGL,1,                  ,4FGL J1805.8-0803 ,271.4509,-8.066,1RXS J180603.1-080612       ,271.5129089355469,-8.103469848632812,0.0,271.4509,-8.066
IC190104A,4FGL,0,                  ,4FGL J2351.4-2818 ,357.8686,-28.3116,,,,0.0,357.8686,-28.3116
IC190104A,4FGL,1,                  ,4FGL J2358.1-2853 ,359.5498,-28.8936,PMN J2358-2853              ,359.570714825,-28.8928064306,0.9362704157829285,359.570714825,-28.8928064306
IC190221A,4FGL,0,                  ,4FGL J1750.4-1721 ,267.6032,-17.3606,,,,0.0,267.6032,-17.3606
IC190221A,4FGL,1,                  ,4FGL J1758.7-1621 ,269.685,-16.3556,AT20G J175841-161703        ,269.6709899902344,-16.284250259399414,0.8351255059242249,269.6709899902344,-16.284250259399414
IC190504A,4FGL,0,3FHL J0420.4-3744 ,4FGL J0420.3-3745 ,65.0936,-37.7522,NVSS J042025-374443         ,65.1045999083,-37.7457942139,0.9239774346351624,65.1045999083,-37.7457942139
IC190504A,4FGL,1,3FHL J0428.6-3756 ,4FGL J0428.6-3756 ,67.173,-37.9403,PKS 0426-380                ,67.1684344625,-37.9387723944,0.9997910857200623,67.1684344625,-37.9387723944
IC190619A,4FGL,0,                  ,4FGL J2306.6+0940 ,346.6505,9.6732,,,,0.0,346.6505,9.6732
IC190619A,4FGL,1,                  ,4FGL J2308.9+1111 ,347.2481,11.1992,MG1 J230850+1112            ,347.215934742,11.1970812417,0.8303675651550293,347.215934742,11.1970812417
IC190704A,4FGL,0,                  ,4FGL J1045.3+2751 ,161.3406,27.8515,NVSS J104516+275136         ,161.31787109375,27.859277725219727,0.0,161.3406,27.8515
IC190704A,4FGL,1,                  ,4FGL J1049.8+2741 ,162.4574,27.6846,,,,0.0,162.4574,27.6846
IC190712A,4FGL,0,                  ,4FGL J0440.4+1440 ,70.1151,14.6823,TXS 0437+145                ,70.0880808375,14.6324865556,0.0,70.1151,14.6823
IC190712A,4FGL,1,3FHL J0441.6+1504 ,4FGL J0441.5+1505 ,70.3896,15.0909,1RXS J044127.8+150455       ,70.36419677734375,15.082200050354004,0.9874110817909241,70.36419677734375,15.082200050354004
IC190712A,4FGL,2,                  ,4FGL J0445.7+1535 ,71.4362,15.5985,,,,0.0,71.4362,15.5985
IC190712A,4FGL,3,                  ,4FGL J0449.1+1121 ,72.2823,11.3569,PKS 0446+11                 ,72.2819629375,11.3579434444,0.9928092360496521,72.2819629375,11.3579434444
