,subjects
IC160427A,[]
IC160731A,[]
IC160806A,"['SUBJECT: IceCube 160806A EHE Neutrino Candidate Event', 'SUBJECT: INTEGRAL/SPI-ACS and IBIS_VETO search for prompt gamma-ray counterpart of IceCube-160806A', 'SUBJECT: IceCube 160806A: Lomonosov BDRG gamma ray prompt observations ', 'SUBJECT: Fermi GBM Observations of IceCube-160806A']"
IC160814A,"['SUBJECT: INTEGRAL/SPI-ACS observation of IceCube HESE 128340 58537957', 'SUBJECT: Search for counterpart to IceCube-160814A with ANTARES']"
IC161103A,"['SUBJECT: IceCube-161103: IceCube observation of a very-high-energy neutrino', 'SUBJECT: HAWC follow up of IceCube-161103', 'SUBJECT: IceCube-161103: MASTER follow-up observations', 'SUBJECT: INTEGRAL SPI-ACS and IBIS/Veto observation of IceCube-161103', 'SUBJECT: IceCube-161103: Swift-XRT observations', 'SUBJECT: Fermi GBM Observations of IceCube-161103', 'SUBJECT: Search for counterpart to IceCube-161103A with ANTARES', 'SUBJECT: IceCube-161103: Konus-Wind upper limits', 'SUBJECT: Fermi LAT Gamma-ray Observations of IceCube-161103', 'SUBJECT: IceCube-161103: CALET Gamma-Ray Burst Monitor upper limits']"
IC161210A,[]
IC170312A,"['SUBJECT: IceCube-170312A - IceCube update on a high-energy neutrino candidate event', 'SUBJECT: IceCube-170312A: Swift-XRT observations', 'SUBJECT: IceCube-170312A: MASTER follow-up observations ']"
IC170321A,"['SUBJECT: Search for counterpart to IceCube-170321A with ANTARES ', 'SUBJECT: IceCube-170321A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Fermi GBM Observation of IceCube-170321A ', 'SUBJECT: INTEGRAL pointed follow-up of IceCube-170321A', 'SUBJECT: IceCube-170321A: Swift-XRT observations', 'SUBJECT: IceCube-170321A: Konus-Wind upper limits']"
IC170506A,['SUBJECT: IceCube-170506A - IceCube update on a high-energy neutrino candidate event']
IC170922A,"['SUBJECT: IceCube-170922A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: INTEGRAL SPI-ACS observation of AMON IceCube-170922A', 'SUBJECT: Search for counterpart to IceCube-170922A with ANTARES', 'SUBJECT: IceCube-170922A: HAWC follow-up', 'SUBJECT: IceCube-170922A: Swift-XRT observations', 'SUBJECT: Further Swift-XRT observations of IceCube 170922A', 'SUBJECT: IceCube-170922A: Konus-Wind upper limits', 'SUBJECT: IceCube-170922A: First Optical observations of the  Neutrino Trigger by  MASTER Global Net  and 25 IceCube alerts inspection.']"
