HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457675.92463,2016-10-14.4214702,bc,1.53,17.112,16.199,0.094,1.271,0.110,V
2457678.98030,2016-10-17.4769062,bc,1.63,17.151,>17.151,99.990,0.512,0.106,V
2457686.92402,2016-10-25.4200721,bc,1.48,17.860,17.091,0.107,0.559,0.055,V
2457690.04078,2016-10-28.5366350,bc,1.69,17.700,16.934,0.108,0.646,0.064,V
2457691.68017,2016-10-30.1759349,bg,1.37,17.184,>17.184,99.990,0.124,0.103,V
2457696.09186,2016-11-03.5873638,bc,1.44,17.471,15.844,0.049,1.764,0.079,V
2457698.91678,2016-11-06.4121348,bc,1.44,17.635,16.328,0.065,1.129,0.068,V
2457701.77050,2016-11-09.2657295,bg,1.40,17.439,>17.439,99.990,-0.065,0.081,V
2457702.85098,2016-11-10.3461534,bc,1.44,17.423,16.246,0.074,1.218,0.082,V
2457704.09020,2016-11-11.5853248,bc,1.52,17.621,16.140,0.056,1.343,0.069,V
2457704.84713,2016-11-12.3422170,bc,1.73,16.853,16.048,0.104,1.461,0.139,V
2457706.98022,2016-11-14.4752282,bc,1.66,16.884,16.688,0.183,0.811,0.135,V
2457711.02915,2016-11-18.5240203,bc,1.60,17.477,>17.477,99.990,0.333,0.078,V
2457719.96857,2016-11-27.4632123,bc,1.56,17.725,17.189,0.133,0.511,0.062,V
2457720.98795,2016-11-28.4825805,bc,1.74,18.047,17.679,0.156,0.325,0.046,V
2457724.75430,2016-12-02.2488869,bg,1.40,17.577,>17.577,99.990,-0.888,0.072,V
2457727.69653,2016-12-05.1910932,bg,1.39,17.446,>17.446,99.990,-1.154,0.081,V
2457730.69040,2016-12-08.1849592,bg,1.40,17.322,>17.322,99.990,-1.282,0.090,V
2457739.79425,2016-12-17.2888813,bc,1.60,17.836,16.689,0.076,0.810,0.056,V
2457741.66139,2016-12-19.1560538,bg,1.49,17.698,>17.698,99.990,-0.659,0.064,V
2457744.65623,2016-12-22.1509606,bg,1.42,17.654,>17.654,99.990,-0.743,0.067,V
2457747.62946,2016-12-25.1242677,bg,1.38,17.415,>17.415,99.990,-1.332,0.083,V
2457755.93606,2017-01-02.4311684,bc,1.40,18.160,>18.160,99.990,-0.255,0.042,V
2457758.79383,2017-01-05.2890584,bc,1.40,17.936,17.644,0.167,0.336,0.051,V
2457759.72871,2017-01-06.2239853,bg,1.53,17.831,>17.831,99.990,-0.341,0.057,V
2457760.90775,2017-01-07.4030855,bc,2.16,17.819,17.177,0.121,0.517,0.057,V
2457767.89134,2017-01-14.3870488,bc,1.48,17.507,>17.507,99.990,0.345,0.076,V
2457778.88411,2017-01-25.3805478,bc,1.41,17.702,16.399,0.066,1.057,0.064,V
2457780.78528,2017-01-27.2818515,bc,1.44,17.767,16.648,0.078,0.841,0.060,V
2457784.86307,2017-01-31.3599568,bc,1.46,17.920,17.077,0.100,0.567,0.052,V
2457787.85617,2017-02-03.3533033,bc,1.54,17.856,17.268,0.127,0.475,0.055,V
2457792.57058,2017-02-08.0681079,bg,1.41,16.860,>16.860,99.990,-0.959,0.138,V
2457797.82921,2017-02-13.3271883,bc,1.43,17.697,>17.697,99.990,-0.183,0.064,V
2457802.81419,2017-02-18.3126277,bc,1.45,17.768,16.718,0.083,0.789,0.060,V
2457807.78599,2017-02-23.2848847,bc,1.50,17.704,16.484,0.071,0.978,0.064,V
2457821.56189,2017-03-09.0621037,bg,1.44,16.930,>16.930,99.990,-0.755,0.130,V
2457824.53860,2017-03-12.0390929,bg,1.39,16.704,>16.704,99.990,-0.695,0.160,V
2457826.72439,2017-03-14.2250952,bc,1.59,18.026,>18.026,99.990,0.190,0.047,V
2457832.53509,2017-03-20.0363449,bg,1.38,17.305,>17.305,99.990,-1.159,0.092,V
2457834.51341,2017-03-22.0148466,bg,1.37,17.429,>17.429,99.990,-1.195,0.082,V
2457835.52030,2017-03-23.0218299,bg,1.52,17.516,>17.516,99.990,-0.590,0.076,V
2457836.50762,2017-03-24.0092378,bg,1.46,17.548,>17.548,99.990,-0.657,0.073,V
2457838.51394,2017-03-26.0157415,bg,1.36,17.389,>17.389,99.990,-0.935,0.085,V
2457839.51134,2017-03-27.0132318,bg,1.43,17.417,>17.417,99.990,-1.044,0.083,V
2457843.49721,2017-03-30.9994515,bg,1.42,17.586,>17.586,99.990,-0.620,0.071,V
2457851.47380,2017-04-07.9767193,bg,1.44,17.066,>17.066,99.990,-0.159,0.114,V
